10/31/2024 2:54:00,GDCytosine+9164,Myles+2125,devinblox+9150,SoulDataFMAB+1794,Woodland Alliance,Corvid Conspiracy,Underground Duchy,Vagabond (Scoundrel),Riverfolk Company,28,22,30,Coalition w/Woodland Alliance,0.00,0.00,1.00,0.00,Autumn,E&P,Random,Live,https://discord.com/channels/476234833572397056/1301354875690418177
10/31/2024 3:50:00,FakeSki+4232,bwebby+1847,Deejaythink+9834,HobGungan+2914,Corvid Conspiracy,Eyrie Dynasties,Underground Duchy,Riverfolk Company,Marquise de Cat,22,27,32,18,0.00,0.00,1.00,0.00,Autumn,E&P,,Async,https://discord.com/channels/476234833572397056/1299131018153955472
10/31/2024 4:49:00,Jarhed12+6549,deathprod+3566,Matt516+2460,1coolguy+6294,Lizard Cult,Vagabond (Thief),Underground Duchy,Eyrie Dynasties,Woodland Alliance,23,29,30,21,0.00,0.00,1.00,0.00,Lake,E&P,Random,Async,https://discord.com/channels/476234833572397056/1296273051587186718
10/31/2024 9:45:00,yauhen+8851,TheWiseFox+8428,MaxMin+2105,AlexP+2435,Woodland Alliance,Marquise de Cat,Eyrie Dynasties,Underground Duchy,Riverfolk Company,23,17,22,30,0.00,0.00,0.00,1.00,Lake,E&P,Random,Async,https://discord.com/channels/476234833572397056/1294926955283615788
10/31/2024 9:49:00,greenplastic90+3616,Matoto+8242,Ouki01+4037,AlexP+2435,Corvid Conspiracy,Lizard Cult,Eyrie Dynasties,Vagabond (Thief),Underground Duchy,22,16,10,30,0.00,0.00,0.00,1.00,Winter,E&P,,Async,https://discord.com/channels/476234833572397056/1298280316422590475
10/31/2024 16:03:00,Holysheva+0413,Tyr11+4081,Furry0329+6442,TheWiseFox+8428,Vagabond (Vagrant),Lizard Cult,Woodland Alliance,Underground Duchy,Vagabond (Scoundrel),28,24,30,19,0.00,0.00,1.00,0.00,Mountain,E&P,Random,Async,https://discord.com/channels/476234833572397056/1299495330819342376
10/31/2024 19:15:00,KFull+1226,Pyrocrab+5064,TercMa+9283,Fearteiler+8050,Marquise de Cat,Lizard Cult,Woodland Alliance,Underground Duchy,Vagabond (Harrier),22,17,25,30,0.00,0.00,0.00,1.00,Autumn,E&P,,Async,https://discord.com/channels/476234833572397056/1298434122665955340
10/31/2024 20:20:00,robinsrus9+9439,TheWiseFox+8428,bwebby+1847,Peppy+6321,Eyrie Dynasties,Vagabond (Arbiter),Underground Duchy,Lizard Cult,Riverfolk Company,29,Coalition w/Underground Duchy,30,25,0.00,0.50,0.50,0.00,Mountain,E&P,,Async,https://discord.com/channels/476234833572397056/1297905396316508181
10/31/2024 20:39:00,Killerstorm17+3440,jambi997+2298,HuntingGirl37+3550,Job123+0665,Lizard Cult,Corvid Conspiracy,Underground Duchy,Eyrie Dynasties,Marquise de Cat,31,15,4,5,1.00,0.00,0.00,0.00,Mountain,E&P,Random,Async,https://discord.com/channels/476234833572397056/1301627633343139891
11/1/2024 2:32:00,SoulDataFMAB+1794,Matt516+2460,Namzies+1928,Aeliott+7118,Vagabond (Scoundrel),Lizard Cult,Eyrie Dynasties,Underground Duchy,Corvid Conspiracy,22,30,17,15,0.00,1.00,0.00,0.00,Winter,E&P,,Async,https://discord.com/channels/476234833572397056/1300561991680917645
11/1/2024 10:54:00,HobGungan+2914,ExodiaDoggo+4205,skellen+1863,Kumori+0599,Underground Duchy,Lizard Cult,Woodland Alliance,Vagabond (Ronin),Riverfolk Company,10,30,15,23,0.00,1.00,0.00,0.00,Lake,E&P,Random,Async,https://discord.com/channels/476234833572397056/1298625042023841816
11/1/2024 12:34:00,Holysheva+0413,BrorWolf25+7581,NadtyLite+7330,Hoffenpepper+6941,Riverfolk Company,Woodland Alliance,Eyrie Dynasties,Underground Duchy,Marquise de Cat,25,24,30,20,0.00,0.00,1.00,0.00,Mountain,E&P,Random,Async,https://discord.com/channels/476234833572397056/1300514660658839552
11/1/2024 16:21:00,Youdge+8117,ExodiaDoggo+4205,1coolguy+6294,Namzies+1928,Riverfolk Company,Underground Duchy,Eyrie Dynasties,Vagabond (Tinker),Vagabond (Ronin),18,18,24,31,0.00,0.00,0.00,1.00,Lake,E&P,,Async,https://discord.com/channels/476234833572397056/1296165369060261970
11/1/2024 17:22:00,TheWiseFox+8428,NadtyLite+7330,Matt516+2460,Tyr11+4081,Woodland Alliance,Corvid Conspiracy,Eyrie Dynasties,Underground Duchy,Marquise de Cat,30,29,25,24,1.00,0.00,0.00,0.00,Winter,E&P,,Async,https://discord.com/channels/476234833572397056/539979741420322836/1301937747618959390
11/1/2024 17:37:00,lumpyprol+3206,Namzies+1928,ActiveAxon+8546,pookypossum+9865,Woodland Alliance,Vagabond (Ronin),Marquise de Cat,Eyrie Dynasties,Underground Duchy,32,Coalition w/Marquise de Cat,26,18,1.00,0.00,0.00,0.00,Winter,E&P,,Async,https://discord.com/channels/476234833572397056/1300567804617166940
11/1/2024 22:14:00,Proffian+5891,KFull+1226,Matt516+2460,SoulDataFMAB+1794,Corvid Conspiracy,Eyrie Dynasties,Marquise de Cat,Vagabond (Thief),Lizard Cult,21,28,33,23,0.00,0.00,1.00,0.00,Winter,E&P,,Async,https://discord.com/channels/476234833572397056/1298024380848275470
11/2/2024 4:23:00,phannyak+8285,Namzies+1928,TheWiseFox+8428,Holysheva+0413,Corvid Conspiracy,Marquise de Cat,Woodland Alliance,Underground Duchy,Vagabond (Thief),15,23,11,31,0.00,0.00,0.00,1.00,Autumn,E&P,Random,Async,https://discord.com/channels/476234833572397056/1300477618084249665
11/2/2024 5:06:00,lumpyprol+3206,Ctfox+5431,Furry0329+6442,TercMa+9283,Riverfolk Company,Vagabond (Adventurer),Underground Duchy,Eyrie Dynasties,Marquise de Cat,18,24,31,Mouse Dom,0.00,0.00,1.00,0.00,Mountain,E&P,Random,Async,https://discord.com/channels/476234833572397056/1301376100416487445
11/2/2024 11:23:00,snapfish295+8182,Unkannie+6295,Aeliott+7118,TercMa+9283,Vagabond (Scoundrel),Vagabond (Tinker),Corvid Conspiracy,Marquise de Cat,Lizard Cult,18,24,22,30,0.00,0.00,0.00,1.00,Mountain,E&P,,Async,https://discord.com/channels/476234833572397056/539979741420322836/1302227666082201640
11/2/2024 14:44:00,HobGungan+2914,ActiveAxon+8546,RustySpruce+2483,NadtyLite+7330,Lizard Cult,Riverfolk Company,Vagabond (Harrier),Underground Duchy,Marquise de Cat,17,28,31,27,0.00,0.00,1.00,0.00,Lake,E&P,Random,Async,https://discord.com/channels/476234833572397056/1296842443706208309/1300468034816835706
11/2/2024 16:22:00,TheWiseFox+8428,bwebby+1847,Namzies+1928,cringelordirl+3838,Eyrie Dynasties,Vagabond (Adventurer),Woodland Alliance,Corvid Conspiracy,Lizard Cult,25,20,11,30,0.00,0.00,0.00,1.00,Autumn,E&P,Random,Async,https://discord.com/channels/476234833572397056/1300580888492642408/1302305932671320195
11/2/2024 17:43:00,Emperia+9282,Holysheva+0413,Proffian+5891,KFull+1226,Vagabond (Adventurer),Woodland Alliance,Vagabond (Arbiter),Eyrie Dynasties,Corvid Conspiracy,23,30,17,9,0.00,1.00,0.00,0.00,Winter,E&P,,Async,https://discord.com/channels/476234833572397056/1298036023389061160
11/2/2024 17:58:00,GDCytosine+9164,Myfirstdime+8673,Amazing moondog+4878,Umiya+8617,Lizard Cult,Woodland Alliance,Underground Duchy,Marquise de Cat,Eyrie Dynasties,17,7,20,30,0.00,0.00,0.00,1.00,Mountain,E&P,,Live,https://discord.com/channels/476234833572397056/1302316302165344347
11/2/2024 19:02:00,Umiya+8617,robinsrus9+9439,KFull+1226,OrcaJoe+2556,Woodland Alliance,Marquise de Cat,Underground Duchy,Riverfolk Company,Vagabond (Ranger),30,24,26,27,1.00,0.00,0.00,0.00,Mountain,E&P,,Live,https://discord.com/channels/476234833572397056/1294888638026485771
11/2/2024 20:40:00,devinblox+9150,Hoffenpepper+6941,Umiya+8617,Job123+0665,Marquise de Cat,Corvid Conspiracy,Underground Duchy,Riverfolk Company,Vagabond (Thief),28,13,30,20,0.00,0.00,1.00,0.00,Lake,E&P,,Live,https://discord.com/channels/476234833572397056/1302351405251694703
11/2/2024 22:28:00,Amazing moondog+4878,Vsquirrel+9158,Umiya+8617,Job123+0665,Lizard Cult,Woodland Alliance,Marquise de Cat,Riverfolk Company,Vagabond (Adventurer),21,20,30,17,0.00,0.00,1.00,0.00,Lake,E&P,,Live,https://discord.com/channels/476234833572397056/1302375320783032381
11/2/2024 23:24:00,cringelordirl+3838,NadtyLite+7330,dindane+0250,ZachB+8726,Lizard Cult,Eyrie Dynasties,Woodland Alliance,Riverfolk Company,Vagabond (Scoundrel),27,33,15,21,0.00,1.00,0.00,0.00,Autumn,E&P,,Async,https://discord.com/channels/476234833572397056/1301362907472199791
11/3/2024 2:42:00,1coolguy+6294,lumpyprol+3206,SluyGuy+5208,TheWiseFox+8428,Woodland Alliance,Eyrie Dynasties,Lizard Cult,Underground Duchy,Marquise de Cat,18,30,16,10,0.00,1.00,0.00,0.00,Lake,E&P,,Async,https://discord.com/channels/476234833572397056/1299157820041592854
11/3/2024 5:29:00,NadtyLite+7330,Furry0329+6442,MrRiceGuy+5849,Emperia+9282,Marquise de Cat,Underground Duchy,Vagabond (Adventurer),Eyrie Dynasties,Vagabond (Harrier),18,32,Coalition w/Eyrie Dynasties,17,0.00,1.00,0.00,0.00,Mountain,E&P,Random,Async,https://discord.com/channels/476234833572397056/1300121147744190557
11/3/2024 5:37:00,Namzies+1928,cringelordirl+3838,ActiveAxon+8546,SoulDataFMAB+1794,Vagabond (Ronin),Marquise de Cat,Vagabond (Thief),Underground Duchy,Riverfolk Company,30,29,24,26,1.00,0.00,0.00,0.00,Mountain,E&P,,Async,https://discord.com/channels/476234833572397056/1300568890740576346
11/3/2024 9:03:00,kesitron+0187,Namzies+1928,NadtyLite+7330,BloodMuffin+4386,Woodland Alliance,Corvid Conspiracy,Eyrie Dynasties,Underground Duchy,Marquise de Cat,30,20,22,21,1.00,0.00,0.00,0.00,Winter,E&P,,Async,https://media.discordapp.net/attachments/1300509245053210716/1302557054946377728/root_wa_3.PNG?ex=67288c4a&is=67273aca&hm=fb06e99a3d3b5a456b5cbf6391a100a8232e756a812d0d91d1101f317bbdb333&=&format=webp&quality=lossless&width=1066&height=600
11/3/2024 12:47:00,TheWiseFox+8428,Bapgo+7254,Hoffenpepper+6941,Sophisticatedpingo+2936,Woodland Alliance,Underground Duchy,Vagabond (Adventurer),Vagabond (Ronin),Riverfolk Company,21,30,18,8,0.00,1.00,0.00,0.00,Mountain,E&P,,Async,https://discord.com/channels/476234833572397056/1298926482667737170
